# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
-4.671708373759257960e-01,-1.834595527916831892e-01,-0.000000000000000000e+00,-7.211840231934577572e-01,1.367187500000000000e-01,-4.670327028882333420e-01,-1.914770942529172570e-01,1.388829576111732730e-02,-8.564726065694830970e-01
-4.670327028882333420e-01,-1.914770942529172570e-01,1.388829576111732730e-02,-8.564726065694830970e-01,1.875000000000000000e-01,-4.670327028882333420e-01,-2.002340471932790300e-01,-0.000000000000000000e+00,-8.958873907026557726e-01
-4.670327028882333420e-01,-2.002340471932790300e-01,-0.000000000000000000e+00,-8.958873907026557726e-01,2.460937500000000000e-01,-4.670327028882333420e-01,-2.087323443057355898e-01,-0.000000000000000000e+00,-8.820389530342436224e-01
-4.670327028882333420e-01,-2.087323443057355898e-01,-0.000000000000000000e+00,-8.820389530342436224e-01,3.046875000000000000e-01,-4.670327028882333420e-01,-2.179442824275730495e-01,-0.000000000000000000e+00,-9.054747706269410390e-01
-4.670327028882333420e-01,-2.179442824275730495e-01,-0.000000000000000000e+00,-9.054747706269410390e-01,3.945312500000000000e-01,-4.668945684005408325e-01,-2.262608076709990701e-01,1.399294853922307576e-02,-8.447546977731343887e-01
-4.668945684005408325e-01,-2.262608076709990701e-01,1.399294853922307576e-02,-8.447546977731343887e-01,4.765625000000000000e-01,-4.664801649374634707e-01,-2.323704831001029425e-01,4.145422268118238718e-02,-4.964132271907699678e-01
-4.664801649374634707e-01,-2.323704831001029425e-01,4.145422268118238718e-02,-4.964132271907699678e-01,-4.687500000000000000e-01,-4.656513580113086359e-01,-2.360641438416755666e-01,6.946145956917418318e-02,-3.174488019374451797e-01
-4.656513580113086359e-01,-2.360641438416755666e-01,6.946145956917418318e-02,-3.174488019374451797e-01,-4.101562500000000000e-01,-4.648225510851538012e-01,-2.372488862068599103e-01,1.018388224871507458e-01,-7.669903939428206197e-02
-4.648225510851538012e-01,-2.372488862068599103e-01,1.018388224871507458e-01,-7.669903939428206197e-02,-4.062500000000000000e-01,-4.635793406959216045e-01,-2.360129559102900898e-01,1.283292473703193937e-01,2.055960361541171733e-01
-4.635793406959216045e-01,-2.360129559102900898e-01,1.283292473703193937e-01,2.055960361541171733e-01,-3.867187500000000000e-01,-4.620598613313044445e-01,-2.323928532117644497e-01,1.437338380002537164e-01,3.749730814831567227e-01
-4.620598613313044445e-01,-2.323928532117644497e-01,1.437338380002537164e-01,3.749730814831567227e-01,-3.671875000000000000e-01,-4.602641129913023765e-01,-2.287216494946603396e-01,1.672049559442351230e-01,3.312972396058572189e-01
-4.602641129913023765e-01,-2.287216494946603396e-01,1.672049559442351230e-01,3.312972396058572189e-01,-3.476562500000000000e-01,-4.586064991389928180e-01,-2.217018567599208512e-01,1.827210620551243947e-01,8.372978467209125641e-01
-4.586064991389928180e-01,-2.217018567599208512e-01,1.827210620551243947e-01,8.372978467209125641e-01,-3.632812500000000000e-01,-4.566726163112981851e-01,-2.147892629006653564e-01,1.967470948584870150e-01,5.869607042534641383e-01
-4.566726163112981851e-01,-2.147892629006653564e-01,1.967470948584870150e-01,5.869607042534641383e-01,-3.398437500000000000e-01,-4.546005989959112092e-01,-2.047713154370633670e-01,2.052397155204227219e-01,1.123853980013438614e+00
-4.546005989959112092e-01,-2.047713154370633670e-01,2.052397155204227219e-01,1.123853980013438614e+00,-3.359375000000000000e-01,-4.522523127051392144e-01,-1.952634156228119922e-01,2.343316183510216200e-01,8.958873907026557726e-01
-4.522523127051392144e-01,-1.952634156228119922e-01,2.343316183510216200e-01,8.958873907026557726e-01,-3.398437500000000000e-01,-4.500421609020597846e-01,-1.844444643271787587e-01,2.178932058166442032e-01,9.928264543815399357e-01
-4.500421609020597846e-01,-1.844444643271787587e-01,2.178932058166442032e-01,9.928264543815399357e-01,-3.203125000000000000e-01,-4.475557401235953359e-01,-1.736067811515428494e-01,2.516907111571539124e-01,1.101483426856772807e+00
-4.475557401235953359e-01,-1.736067811515428494e-01,2.516907111571539124e-01,1.101483426856772807e+00,-3.164062500000000000e-01,-4.450693193451309981e-01,-1.622379019095996910e-01,2.479093973137156681e-01,1.287904703162319642e+00
-4.450693193451309981e-01,-1.622379019095996910e-01,2.479093973137156681e-01,1.287904703162319642e+00,-3.242187500000000000e-01,-4.424447640789740399e-01,-1.508863986789570621e-01,2.545892053716136694e-01,1.023719123026459066e+00
-4.424447640789740399e-01,-1.508863986789570621e-01,2.545892053716136694e-01,1.023719123026459066e+00,-3.046875000000000000e-01,-4.398202088128171927e-01,-1.389399518841254177e-01,2.747512267524236940e-01,1.243163596848988250e+00
-4.398202088128171927e-01,-1.389399518841254177e-01,2.747512267524236940e-01,1.243163596848988250e+00,-3.281250000000000000e-01,-4.370575190589678360e-01,-1.275884986024178880e-01,2.748733438971780463e-01,1.149420326478199250e+00
-4.370575190589678360e-01,-1.275884986024178880e-01,2.748733438971780463e-01,1.149420326478199250e+00,-3.203125000000000000e-01,-4.341566948174259699e-01,-1.155690118104660824e-01,2.704966367184519771e-01,1.217597250384227614e+00
-4.341566948174259699e-01,-1.155690118104660824e-01,2.704966367184519771e-01,1.217597250384227614e+00,-3.164062500000000000e-01,-4.313940050635766688e-01,-1.040171644228514714e-01,2.945790290148754265e-01,1.281513116546129316e+00
-4.313940050635766688e-01,-1.040171644228514714e-01,2.945790290148754265e-01,1.281513116546129316e+00,-3.359375000000000000e-01,-4.286313153097272566e-01,-9.258933605879704487e-02,2.760915102532698340e-01,1.066329700467727015e+00
-4.286313153097272566e-01,-9.258933605879704487e-02,2.760915102532698340e-01,1.066329700467727015e+00,-3.281250000000000000e-01,-4.255923565804929920e-01,-8.156969569117850094e-02,3.007554506468040345e-01,1.086569724752329158e+00
-4.255923565804929920e-01,-8.156969569117850094e-02,3.007554506468040345e-01,1.086569724752329158e+00,-3.281250000000000000e-01,-4.228296668266436908e-01,-7.049086684291047677e-02,2.791846930569603646e-01,1.094026575804551094e+00
-4.228296668266436908e-01,-7.049086684291047677e-02,2.791846930569603646e-01,1.094026575804551094e+00,-3.281250000000000000e-01,-4.199288425851018247e-01,-5.966997105305936466e-02,2.900273824127188593e-01,1.023719123026459066e+00
-4.199288425851018247e-01,-5.966997105305936466e-02,2.900273824127188593e-01,1.023719123026459066e+00,-3.320312500000000000e-01,-4.163373459050976888e-01,-4.819930418128495070e-02,2.885127727520115926e-01,1.151550855350262692e+00
-4.163373459050976888e-01,-4.819930418128495070e-02,2.885127727520115926e-01,1.151550855350262692e+00,-2.890625000000000000e-01,-4.137127906389407861e-01,-3.772735038221384368e-02,2.989647932175363287e-01,1.080178138136138832e+00
-4.137127906389407861e-01,-3.772735038221384368e-02,2.989647932175363287e-01,1.080178138136138832e+00,-3.476562500000000000e-01,-4.109501008850914849e-01,-2.783902841363628325e-02,3.004761094629483376e-01,1.034371767386776053e+00
-4.109501008850914849e-01,-2.783902841363628325e-02,3.004761094629483376e-01,1.034371767386776053e+00,-3.593750000000000000e-01,-4.081874111312420728e-01,-1.710082436071625606e-02,2.865158540496435813e-01,1.036502296258839495e+00
-4.081874111312420728e-01,-1.710082436071625606e-02,2.865158540496435813e-01,1.036502296258839495e+00,-3.789062500000000000e-01,-4.052865868897002621e-01,-7.448506333726886974e-03,2.948488724002343853e-01,1.002413834305825091e+00
-4.052865868897002621e-01,-7.448506333726886974e-03,2.948488724002343853e-01,1.002413834305825091e+00,-3.906250000000000000e-01,-4.019713591850809786e-01,1.385598602462485970e-03,2.919393832121680021e-01,8.341020534128174013e-01
-4.019713591850809786e-01,1.385598602462485970e-03,2.919393832121680021e-01,8.341020534128174013e-01,-3.750000000000000000e-01,-3.994849384066166409e-01,8.674840900044762312e-03,2.808651697179196938e-01,6.849650323683800224e-01
-3.994849384066166409e-01,8.674840900044762312e-03,2.808651697179196938e-01,6.849650323683800224e-01,-4.023437500000000000e-01,-3.967222486527672842e-01,1.469909180505005013e-02,2.781993826305924622e-01,5.997438774858444566e-01
-3.967222486527672842e-01,1.469909180505005013e-02,2.781993826305924622e-01,5.997438774858444566e-01,-3.906250000000000000e-01,-3.939595588989178720e-01,2.023163113823240461e-02,2.791443397010295313e-01,5.581985644806083391e-01
-3.939595588989178720e-01,2.023163113823240461e-02,2.791443397010295313e-01,5.581985644806083391e-01,-3.828125000000000000e-01,-3.911968691450685709e-01,2.710801184989874643e-02,2.689215504033312110e-01,7.542072207104402182e-01
-3.911968691450685709e-01,2.710801184989874643e-02,2.689215504033312110e-01,7.542072207104402182e-01,-3.945312500000000000e-01,-3.884341793912192142e-01,3.408097981687596700e-02,2.753239880563936315e-01,7.020092633448872244e-01
-3.884341793912192142e-01,3.408097981687596700e-02,2.753239880563936315e-01,7.020092633448872244e-01,-4.023437500000000000e-01,-3.856714896373698576e-01,4.128184532350263197e-02,2.714795278056705841e-01,7.009439989088555034e-01
-3.856714896373698576e-01,4.128184532350263197e-02,2.714795278056705841e-01,7.009439989088555034e-01,-4.179687500000000000e-01,-3.831850688589054088e-01,4.815201255890266124e-02,2.600440010172644922e-01,6.934871478566335679e-01
-3.831850688589054088e-01,4.815201255890266124e-02,2.600440010172644922e-01,6.934871478566335679e-01,-4.296875000000000000e-01,-3.798698411542861253e-01,5.455399406405354173e-02,2.546949871306083968e-01,6.434197193631439049e-01
-3.798698411542861253e-01,5.455399406405354173e-02,2.546949871306083968e-01,6.434197193631439049e-01,-3.828125000000000000e-01,-3.779359583265916589e-01,6.059186456925886449e-02,2.772807055594382897e-01,5.954828197417176838e-01
-3.779359583265916589e-01,6.059186456925886449e-02,2.772807055594382897e-01,5.954828197417176838e-01,-4.882812500000000000e-01,-3.754495375481271546e-01,6.608504269483050919e-02,2.391159860777886115e-01,5.581985644806083391e-01
-3.754495375481271546e-01,6.608504269483050919e-02,2.391159860777886115e-01,5.581985644806083391e-01,-4.726562500000000000e-01,-3.731012512573552709e-01,7.051757504238650998e-02,2.413424464612443365e-01,3.238403885536353388e-01
-3.731012512573552709e-01,7.051757504238650998e-02,2.413424464612443365e-01,3.238403885536353388e-01,-4.843750000000000000e-01,-3.707529649665832761e-01,7.266871854633406846e-02,2.337976306145589656e-01,1.597896654047542830e-01
-3.707529649665832761e-01,7.266871854633406846e-02,2.337976306145589656e-01,1.597896654047542830e-01,-4.921875000000000000e-01,-3.684046786758113923e-01,7.276518495258205155e-02,2.434782731201529105e-01,-5.645901510967984982e-02
-3.684046786758113923e-01,7.276518495258205155e-02,2.434782731201529105e-01,-5.645901510967984982e-02,-4.804687500000000000e-01,-3.660563923850394530e-01,7.052753982016055079e-02,2.286947752978973347e-01,-2.599245223917336367e-01
-3.660563923850394530e-01,7.052753982016055079e-02,2.286947752978973347e-01,-2.599245223917336367e-01,-4.609375000000000000e-01,-3.638462405819599677e-01,6.734244818334857163e-02,2.105728493801787560e-01,-3.067961575771282479e-01
-3.638462405819599677e-01,6.734244818334857163e-02,2.105728493801787560e-01,-3.067961575771282479e-01,-4.218750000000000000e-01,-3.616360887788804823e-01,6.413310215415234106e-02,2.354836292298838896e-01,-3.163835375014135143e-01
-3.616360887788804823e-01,6.413310215415234106e-02,2.354836292298838896e-01,-3.163835375014135143e-01,-4.062500000000000000e-01,-3.592878024881085430e-01,6.401243360735628385e-02,2.321663818246710032e-01,2.013349784099904005e-01
-3.592878024881085430e-01,6.401243360735628385e-02,2.321663818246710032e-01,2.013349784099904005e-01,-4.140625000000000000e-01,-3.569395161973365482e-01,6.682127088040701324e-02,2.366342306544492458e-01,2.993393065249063678e-01
-3.569395161973365482e-01,6.682127088040701324e-02,2.366342306544492458e-01,2.993393065249063678e-01,-4.375000000000000000e-01,-3.544530954188721550e-01,6.978686825472305011e-02,2.430843461096539593e-01,3.185140663734769007e-01
-3.544530954188721550e-01,6.978686825472305011e-02,2.430843461096539593e-01,3.185140663734769007e-01,-4.453125000000000000e-01,-3.521048091281002157e-01,7.288223172282425055e-02,2.409350925276380340e-01,3.344930329139522707e-01
-3.521048091281002157e-01,7.288223172282425055e-02,2.409350925276380340e-01,3.344930329139522707e-01,-4.648437500000000000e-01,-3.496183883496358225e-01,7.623011693048155346e-02,2.330980021635309374e-01,3.579288505066496318e-01
-3.496183883496358225e-01,7.623011693048155346e-02,2.330980021635309374e-01,3.579288505066496318e-01,-4.687500000000000000e-01,-3.474082365465562816e-01,8.025037550744651416e-02,2.331266610065287626e-01,4.420847409531535321e-01
-3.474082365465562816e-01,8.025037550744651416e-02,2.331266610065287626e-01,4.420847409531535321e-01,5.000000000000000000e-01,-3.451980847434767963e-01,8.512443946033469711e-02,2.239845494542636595e-01,5.358280113239426434e-01
-3.451980847434767963e-01,8.512443946033469711e-02,2.239845494542636595e-01,5.358280113239426434e-01,4.726562500000000000e-01,-3.428497984527048570e-01,8.821821759090853199e-02,2.298207196614285575e-01,1.970739206658636278e-01
-3.428497984527048570e-01,8.821821759090853199e-02,2.298207196614285575e-01,1.970739206658636278e-01,-3.710937500000000000e-01,-3.407777811373178256e-01,9.013459277076434073e-02,2.094087013324276159e-01,1.949433917938002137e-01
-3.407777811373178256e-01,9.013459277076434073e-02,2.094087013324276159e-01,1.949433917938002137e-01,-2.656250000000000000e-01,-3.382913603588534324e-01,9.272674790869087080e-02,2.480568150134716265e-01,2.940129843447478741e-01
-3.382913603588534324e-01,9.272674790869087080e-02,2.480568150134716265e-01,2.940129843447478741e-01,-1.953125000000000000e-01,-3.355286706050040202e-01,9.749817728393400662e-02,2.778458382766919588e-01,6.370281327469538013e-01
-3.355286706050040202e-01,9.749817728393400662e-02,2.778458382766919588e-01,6.370281327469538013e-01,-1.484375000000000000e-01,-3.323515773880773017e-01,1.122930969875057805e-01,3.155280180931672729e-01,1.793905310277374765e+00
-3.323515773880773017e-01,1.122930969875057805e-01,3.155280180931672729e-01,1.793905310277374765e+00,-1.757812500000000000e-01,-3.290363496834580737e-01,1.365353165125091084e-01,3.342887013750183711e-01,2.503371424674483592e+00
