# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
-1.740494544925093312e-02,-4.797533030143338179e-02,-9.808566895291870313e-02,-9.054747706269410112e-02,-2.929687500000000000e-01,-1.851002135079067232e-02,-4.976247473366337409e-02,-1.136035361306798885e-01,-2.066613005901488942e-01
-1.851002135079067232e-02,-4.976247473366337409e-02,-1.136035361306798885e-01,-2.066613005901488942e-01,-3.007812500000000000e-01,-1.961509725233041498e-02,-5.204034831007525036e-02,-1.081156090161589090e-01,-2.269013248747510647e-01
-1.961509725233041498e-02,-5.204034831007525036e-02,-1.081156090161589090e-01,-2.269013248747510647e-01,-2.851562500000000000e-01,-2.072017315387015418e-02,-5.423309131176867054e-02,-1.102291201724590469e-01,-2.269013248747510647e-01
-2.072017315387015418e-02,-5.423309131176867054e-02,-1.102291201724590469e-01,-2.269013248747510647e-01,-2.851562500000000000e-01,-2.182524905540989685e-02,-5.744305162845569912e-02,-1.072723633153987444e-01,-3.728425526110933363e-01
-2.182524905540989685e-02,-5.744305162845569912e-02,-1.072723633153987444e-01,-3.728425526110933363e-01,-2.812500000000000000e-01,-2.293032495694963951e-02,-6.258892664289951446e-02,-1.067682731533158846e-01,-5.581985644806083391e-01
-2.293032495694963951e-02,-6.258892664289951446e-02,-1.067682731533158846e-01,-5.581985644806083391e-01,-2.578125000000000000e-01,-2.403540085848937871e-02,-6.745946431779549501e-02,-1.019470862010718182e-01,-4.591289719296606231e-01
-2.403540085848937871e-02,-6.745946431779549501e-02,-1.019470862010718182e-01,-4.591289719296606231e-01,-2.578125000000000000e-01,-2.500234227233665701e-02,-7.298598122970016699e-02,-1.138075608896984003e-01,-6.029396707939395084e-01
-2.500234227233665701e-02,-7.298598122970016699e-02,-1.138075608896984003e-01,-6.029396707939395084e-01,-2.148437500000000000e-01,-2.596928368618393185e-02,-7.804541785531290965e-02,-9.080143825960577952e-02,-4.761732029061678251e-01
-2.596928368618393185e-02,-7.804541785531290965e-02,-9.080143825960577952e-02,-4.761732029061678251e-01,-1.992187500000000000e-01,-2.679809061233873191e-02,-8.213533701302251633e-02,-8.862153177991075048e-02,-3.195793308095085661e-01
-2.679809061233873191e-02,-8.213533701302251633e-02,-8.862153177991075048e-02,-3.195793308095085661e-01,-1.835937500000000000e-01,-2.748876305080107454e-02,-8.310688993746574715e-02,-6.445985116780578172e-02,-7.030745277809188898e-02
